ID,age_years,travel_freq,daily_salary,work_division,commute_distance,education_level,degree_field,headcount,env_satisfaction,sex,hourly_wage,job_engagement,position_level,job_title,job_satisfaction,marital_state,monthly_earnings,monthly_salary,companies_count,is_adult,overtime_status,salary_increase_pct,performance_score,relation_satisfaction,std_work_hours,stock_level,career_years,trainings_last_year,work_life_score,tenure_years,years_current_role,years_post_promotion,years_with_manager,left_company
0,27,frequent_travel,1302,rnd,2,2,life_sci,1,2,male,62,3,2,health_rep,2,divorced,4240,19121,1,yes,no,16,3,2,80,1,8,5,3,8,7,0,1,0
1,32,rare_travel,1476,rnd,28,2,life_sci,1,1,male,81,3,2,mfg_dir,4,married,5473,4060,3,yes,no,14,3,2,80,0,8,3,3,4,1,1,3,0
2,44,rare_travel,1275,rnd,9,2,medical,1,3,male,95,3,1,lab_tech,4,married,3579,17725,0,yes,no,21,4,4,80,1,10,2,3,9,8,1,7,0
3,46,rare_travel,1320,sales,24,4,marketing,1,4,male,48,2,3,sales_exec,1,divorced,10512,23343,1,yes,no,14,3,3,80,1,28,3,3,22,11,15,8,0
4,42,rare_travel,442,rnd,1,4,life_sci,1,1,male,72,2,3,health_rep,4,married,7441,15596,2,yes,yes,23,4,3,80,1,10,3,1,8,7,0,7,0
5,34,rare_travel,571,rnd,22,3,life_sci,1,1,male,40,2,3,research_dir,2,single,11557,22174,4,yes,no,17,3,1,80,0,9,2,3,6,5,1,2,1
6,32,rare_travel,1157,sales,9,3,life_sci,1,3,male,62,3,3,sales_exec,4,single,9071,20335,3,yes,yes,17,3,1,80,0,10,2,4,6,5,1,5,0
7,29,no_travel,882,sales,28,1,medical,1,2,female,98,3,2,sales_exec,4,divorced,5296,20689,1,yes,no,13,3,3,80,1,5,2,4,5,3,0,3,0
8,35,no_travel,1111,rnd,1,4,medical,1,4,female,56,3,2,health_rep,2,married,6815,17456,0,yes,no,14,3,2,80,1,10,2,2,9,8,0,7,0
9,28,rare_travel,572,rnd,2,4,tech_deg,1,4,male,50,3,2,health_rep,3,single,5228,2354,6,yes,no,13,3,1,80,0,10,1,3,7,7,3,7,1
10,38,rare_travel,301,sales,5,2,life_sci,1,3,female,74,3,2,sales_exec,3,married,5209,3193,3,yes,no,18,3,3,80,2,8,2,4,4,2,0,3,0
11,29,frequent_travel,942,sales,7,2,medical,1,2,male,79,3,1,sales_rep,3,divorced,2800,17171,1,yes,yes,13,3,1,80,1,1,2,4,1,0,0,0,1
12,34,rare_travel,337,sales,2,4,life_sci,1,1,female,63,3,2,sales_exec,1,single,6782,8232,5,yes,no,19,3,3,80,0,12,2,2,0,0,0,0,0
13,38,rare_travel,322,sales,6,2,medical,1,4,female,38,3,2,sales_exec,3,married,5605,16495,4,yes,no,14,3,3,80,1,13,3,3,11,8,5,8,0
14,27,rare_travel,884,rnd,9,3,medical,1,1,female,87,4,1,research_sci,1,single,2768,8978,1,yes,no,11,3,3,80,0,3,3,3,3,2,0,2,0
15,44,rare_travel,636,rnd,9,1,medical,1,2,female,91,3,5,research_dir,3,divorced,19627,22456,6,yes,no,13,3,2,80,1,23,0,2,2,2,2,2,0
16,41,rare_travel,1397,rnd,7,1,medical,1,2,male,82,1,1,lab_tech,4,divorced,2109,12290,8,yes,no,14,3,3,80,1,7,4,3,4,3,0,3,0
17,19,rare_travel,1330,rnd,2,1,life_sci,1,3,male,98,3,1,lab_tech,4,single,1675,19305,1,yes,no,15,3,4,80,0,1,2,3,1,1,1,0,0
18,35,rare_travel,829,sales,16,4,marketing,1,2,male,89,3,3,sales_exec,3,single,8686,24788,1,yes,no,13,3,4,80,0,9,3,3,9,7,1,1,0
19,43,rare_travel,427,sales,7,3,marketing,1,2,female,66,4,2,sales_exec,4,divorced,5070,23361,7,yes,no,20,4,1,80,2,16,2,3,7,7,7,7,0
20,31,frequent_travel,635,rnd,10,4,life_sci,1,4,female,61,3,2,mfg_dir,3,divorced,5485,11806,0,yes,no,12,3,4,80,2,8,3,3,7,7,1,7,0
21,41,frequent_travel,806,rnd,8,4,tech_deg,1,4,male,81,2,1,research_sci,2,single,2889,6889,7,yes,no,15,3,2,80,0,12,3,3,5,3,0,3,0
22,38,rare_travel,735,rnd,8,1,medical,1,3,male,52,3,2,research_sci,4,married,4108,4681,1,yes,no,13,3,3,80,1,13,5,1,13,7,6,8,0
23,45,rare_travel,918,sales,2,4,marketing,1,1,female,85,3,2,sales_exec,3,married,5237,23398,3,yes,no,20,4,4,80,1,12,4,3,6,2,0,4,0
24,29,rare_travel,1387,sales,22,1,life_sci,1,4,male,36,1,2,sales_exec,2,married,4233,26589,1,yes,yes,17,3,4,80,0,5,3,4,5,4,4,3,0
25,27,rare_travel,561,sales,3,4,medical,1,3,male,47,3,1,sales_rep,1,married,2819,22490,1,yes,no,11,3,1,80,0,7,2,3,7,7,1,7,1
26,30,rare_travel,1339,sales,9,2,other,1,4,male,41,3,3,sales_exec,1,married,10448,5843,0,yes,no,11,3,4,80,1,12,3,2,9,7,7,6,0
27,29,rare_travel,944,rnd,1,3,life_sci,1,2,male,41,3,1,lab_tech,4,married,1790,9051,1,yes,no,19,3,3,80,1,1,2,3,1,0,0,0,0
28,32,rare_travel,1157,sales,2,4,life_sci,1,4,female,55,2,3,sales_exec,1,single,7441,14947,3,yes,no,12,3,4,80,0,10,2,4,8,7,7,7,0
